FID,Match_addr,Addr_type,StAddr,City,Region,Postal,Country,X,Y,DisplayX,DisplayY,ARC_Single,AGENCY,NAME,YOUTH_FACI,THRIRTYFIV,FRTHGRD_RE,AVAIL_STAF,BEST_TIMES,WEBSITE,PHONE_1,AddressLin,Latitude,Longitude,ADV_RES_RE,EKIP_VOUCH
10, , , , , , , ,-109.561081,40.891814,0,0, , U.S. Forest Service,"Red Canyon Visitor Center, Flaming Gorge National Recreation Area, Ashley National Forest","Restrooms, Visitor Center, Day use areas, HIking Trails",Yes,Staff or volunteer-led tour/hike,"Staff interpreters, Volunteers","Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/recarea/ashley/recreation/outdoorlearning/recarea/?recid=72377&actid=120,(435)784-3445, ,40.891814,-109.561081,No, 
11,"84023, Dutch John, Utah",Postal, ,Dutch John,Utah,84023,USA,-109.474758,40.889758,-109.474758,40.889758,"776-798 FR 158A, Dutch John, UT 84023", U.S. Forest Service,"Swett Ranch, Flaming Gorge National Recreation Area, Ashley National Forest","Restrooms, historic ranch",Yes,History/Social Studies/Cultural Heritage program,Volunteers,Summer (June - August),http://www.fs.usda.gov/detail/ashley/learning/history-culture/?cid=stelprdb5274691 Spring through Fall by appointment,435-781-5260,"776-798 FR 158A, Dutch John, UT 84023",40.889758,-109.474758,Yes,
12,"E ID 21, Boise, Idaho, 83716",StreetName,E ID 21,Boise,Idaho,83716,USA,-116.129041,43.543121,-116.129041,43.543121,"15169 East Highway 21, Boise, ID 83716", U.S. Forest Service,"Lucky Peak Tree Nursery, Boise National Forest",Restrooms,Yes,Staff or volunteer-led tour/hike,Staff interpreters,Spring (March - May),http://www.fs.usda.gov/detail/boise/about-forest/districts/?cid=STELPRDB5038921,208-343-1977,"15169 East Highway 21, Boise, ID 83716",43.543121,-116.129041,Yes,
13,"7785 Folsom Auburn Rd, Folsom, California, 95630",StreetAddress,7785 Folsom Auburn Rd,Folsom,California,95630,USA,-121.171139,38.708553,-121.17114,38.708553,"7785 FOLSOM-AUBURN RD., FOLSOM CA 95630", Bureau of Reclamation,American River Water Education Center (ARWEC),"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Demonstration Garden",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers, Reclamation Guides","Winter (November - February), Spring (March - May), Fall (September - October)",http://www.usbr.gov/mp/arwec,(916) 989-7132,"7785 Folsom-Auburn Rd., Folsom CA 95630",38.708553,-121.171139,Yes,
14,"46 N Highway 20, Ashton, Idaho, 83420",StreetAddress,46 N Highway 20,Ashton,Idaho,83420,USA,-111.45597,44.07212,-111.45597,44.07212,"46 S Highway 20, PO Box 858, Ashton, ID 83420", U.S. Forest Service,"Mesa Falls Visitor Center, Ashton-Island Park Ranger District, Caribou-Targhee National Forest","Restrooms, Visitor Center, Day use areas, Trails, Boardwalk to Falls",Yes,"Staff or volunteer-led tour/hike, Nature Crafts","Staff interpreters, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/recarea/ctnf/recarea/?recid=80612,208-652-7442,"46 S Highway 20, PO Box 858, Ashton, ID 83420",44.07212,-111.45597,No,
15,"83420, Ashton, Idaho",Postal, ,Ashton,Idaho,83420,USA,-111.405009,44.056746,-111.405009,44.056746,"Ashton Office, Idaho 83420", U.S. Forest Service,"Big Springs Interpretive Area and Trail,  Caribou-Targhee National Forest","Restrooms, Trails, Historic Cabin",Yes,Staff or volunteer-led tour/hike,"Staff interpreters, Volunteers","Spring (March - May), Summer (June - August)",http://www.fs.usda.gov/recarea/ctnf/recreation/outdoorlearning/recarea/?recid=53761&actid=119 and http://www.co.fremont.id.us/departments/parks_rec/big_springs/johnny-sack_big-springs.html,208-652-7442,"Ashton Office, Idaho 83420",44.056746,-111.405009,No,
16,"Ida, Louisiana",Locality, ,Ida,Louisiana, ,USA,-93.895347,33.002784,-93.895347,33.002784,"Montpelier Ranger District, 322 N 4th St, Montperlier, ID 83254", U.S. Forest Service,"Minnetonka Cave, Montpelier Ranger District, Caribou-Targhee National Forest",Restrooms,Yes,Cave Tour,Concessionaire,Summer (June - August),http://www.fs.usda.gov/recarea/ctnf/recarea/?recid=70736,435-245-4422,"Montpelier Ranger District, 322 N 4th St, Montperlier, ID 83254",42.088,-111.5187,Yes,
17,"2131 Makiki Heights Dr, Honolulu, Hawaii, 96822",StreetAddress,2131 Makiki Heights Dr,Honolulu,Hawaii,96822,USA,-157.830168,21.312844,-157.830168,21.312844,"2131 Makiki Heights, Honolulu Hawaii  96822", U.S. Forest Service,Hawaii Nature Center,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Group shelters, Day use areas, stream",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, English Language Arts program, native Hawaiian culture","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://Hawaiinaturecenter.org,808-955-0100,"2131 Makiki Heights, Honolulu Hawaii  96822",21.312844,-157.830168,No,
18,"875 Iao Valley Rd, Wailuku, Hawaii, 96793",StreetAddress,875 Iao Valley Rd,Wailuku,Hawaii,96793,USA,-156.535998,20.883725,-156.535998,20.883725,"875 Iao Valley Road, Wailuku Hawaii 96793", U.S. Forest Service,Maui Hawaii Nature Center,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Group shelters, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, English Language Arts program","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://Hawaiinaturecenter.org,808-244-6500,"875 Iao Valley Road, Wailuku Hawaii 96793",20.883725,-156.535998,No,
19,"1849 Ala Aolani St, Honolulu, Hawaii, 96819",PointAddress,1849 Ala Aolani St,Honolulu,Hawaii,96819,USA,-157.880952,21.373735,-157.880851,21.37364,"1849 Ala Aolani Street, Honolulu Hawaii 96819", U.S. Forest Service,Moanaloa Valley,"Restrooms, Group shelters, Day use areas, playground",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, hiking",Volunteers,"Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://moanaluagardensfoundation.org/aloha-aina-moanalu-teachers-workshop/,808-729-1676,"1849 Ala Aolani Street, Honolulu Hawaii 96819",21.373735,-157.880952,No,
20,"45-680 Luluku Rd, Kaneohe, Hawaii, 96744",StreetAddress,45680 Luluku Rd,Kaneohe,Hawaii,96744,USA,-157.808195,21.396043,-157.808195,21.396043,45-680 Luluku Road Kaneohe Hawaii 96744, U.S. Forest Service,Ho'omaluhia Botanical Gardens,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Group shelters, Day use areas, overnight camping, fishing",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, art gallery, fishing","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.honolulu.gov/parks/hbg.html,808-233-7323,45-680 Luluku Road Kaneohe Hawaii 96744,21.396043,-157.808195,No,
21,"704 Kaha St, Kailua, Hawaii, 96734",PointAddress,704 Kaha St,Kailua,Hawaii,96734,USA,-157.755183,21.405358,-157.755381,21.40608,"704 Kaha Street, Kailua, Hawaii 96734", U.S. Fish and Wildlife Service,Kawainui Marsh,"Environmental education facility, Amphitheater, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Native Hawaiian Culturally Significant Site",Volunteers,"Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://dlnr.hawaii.gov/wildlife/info/kawainui-marsh-wetland-restoration-and-habitat-enhancement-plan/,808-587-0166,"704 Kaha Street, Kailua, Hawaii 96734",21.405358,-157.755183,No,
22,"5600 Science Center Dr, Anchorage, Alaska, 99507",StreetAddress,5600 Science Center Dr,Anchorage,Alaska,99507,USA,-149.799949,61.158611,-149.799949,61.158611,"5600 Science Center Drive, Anchorage, AK 99507", Bureau of Land Management,BLM Campbell Creek Science Center,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Low-ropes course, activity fields, archaeological mock-dig site",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, Geocaching, Week-long summer camps; team-building programs; arctic survival/snow studies/avalanche","Staff interpreters, Staff rangers, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.blm.gov/ak/st/en/prog/sciencecenter.html,907-267-1241,"5600 Science Center Drive, Anchorage, AK 99507",61.158611,-149.799949,Yes,
23,"2465 S Townsend Ave, Montrose, Colorado, 81401",StreetAddress,2465 S Townsend Ave,Montrose,Colorado,81401,USA,-107.866229,38.458984,-107.866229,38.458984,"2465 S. Townsend Ave., Montrose, CO 81401", Bureau of Land Management,Gunnison Gorge National Conservation Area,"Restrooms, Visitor Center, Group shelters, Day use areas, Universally accessible fishing pier; river access; Off-highway vehicle training area",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, Geocaching, OHV training courses","Staff rangers, Volunteers, Science staff","Spring (March - May), Fall (September - October)",http://www.blm.gov/co/st/en/nca/ggnca.html,970-240-5300,"2465 S. Townsend Ave., Montrose, CO 81401",38.458984,-107.866229,No,
24,"2815 H Rd, Grand Junction, Colorado, 81506",StreetAddress,2815 H Rd,Grand Junction,Colorado,81506,USA,-108.532925,39.120398,-108.532925,39.120398,"2815 H Road, Grand Junction, CO 81506", Bureau of Land Management,McInnis Canyons National Conservation Area,"Restrooms, Visitor Center, Day use areas, Interpreted geology and paleontology hikes; campground",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program","Staff rangers, Volunteers, Friends group","Winter (November - February), Spring (March - May), Fall (September - October)",http://www.blm.gov/co/st/en/BLM_Programs/recreation/recreation_areas0/grand_junction_field/mcinnis_canyons_nca.html,970-244-3000,"2815 H Road, Grand Junction, CO 81506",39.120398,-108.532925,No,
25,"3028 E Main St, Canon City, Colorado, 81212",PointAddress,3028 E Main St,Canon City,Colorado,81212,USA,-105.196651,38.446673,-105.196611,38.44526,"3028 East Main Street, Canon City, CO 81212", Bureau of Land Management,Garden Park Fossil Area,"Restrooms, Amphitheater, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, Geocaching",Volunteers,"Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.handsontheland.org/site-profiles?Itemid=5&alias=garden-park-fossil-area,719-269-8500,"3028 East Main Street, Canon City, CO 81212",38.446673,-105.196651,No,
26,"2815 H Rd, Grand Junction, Colorado, 81506",StreetAddress,2815 H Rd,Grand Junction,Colorado,81506,USA,-108.532925,39.120398,-108.532925,39.120398,"2815 H Road, Grand Junction CO  81506", Bureau of Land Management,Dominguez Escalante National Conservation Area,"Restrooms, Visitor Center, Day use areas, Campgrounds",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program","Staff rangers, Volunteers, Friends Group","Winter (November - February), Spring (March - May), Fall (September - October)",http://www.blm.gov/co/st/en/nca/denca.html,970-244-3000,"2815 H Road, Grand Junction CO  81506",39.120398,-108.532925,No,
27,"6850 Studhorse Flat Rd, Sonora, California, 95370",StreetAddress,6850 Studhorse Flat Rd,Sonora,California,95370,USA,-120.486489,38.003835,-120.486489,38.003835,"6850 Studhorse Flat Road Sonora, CA. 95370", Bureau of Reclamation,New Melones Lake,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Group shelters, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, History/Social Studies/Cultural Heritage program, Geocaching","Staff interpreters, Staff rangers, Volunteers","Spring (March - May), Fall (September - October)",http://www.usbr.gov/mp/ccao/newmelones/,(209) 536-9094 x221,"6850 Studhorse Flat Road Sonora, CA. 95370",38.003835,-120.486489,No,
28,"5700 N Sabino Canyon Rd, Tucson, Arizona, 85750",StreetAddress,5700 N Sabino Canyon Rd,Tucson,Arizona,85750,USA,-110.824066,32.309042,-110.824066,32.309042,"5700 North Sabino Canyon, Tuscon Arizona 85750", U.S. Forest Service,Sabino Canyon Recreation Area and Visitor Center,"Restrooms, Visitor Center, Environmental education facility, Day use areas, Streams",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, water activities, hiking","Staff interpreters, Staff rangers, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.sabinonaturalists.org/school-programs/,520-749-8700,"5700 North Sabino Canyon, Tuscon Arizona 85750",32.309042,-110.824066,No,
29, , , , , , , ,0,0,0,0, , U.S. Forest Service,"El Portal Visitors Center, El Yunque National Forest Puerto Rico","Restrooms, Visitor Center, Environmental education facility, Amphitheater, Group shelters, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, English Language Arts program, Geocaching","Staff interpreters, Staff rangers, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.elyunque.com/elportal.htm,787-888-5646, ,0,0,No, 
30,"Monument Rd, Oscoda, Michigan, 48750",StreetName,Monument Rd,Oscoda,Michigan,48750,USA,-83.624201,44.422707,-83.624201,44.422707,"5401 Monument Road, Oscoda, MI 48750", U.S. Forest Service,"Huron-Manistee National Forests, Lumberman's Monument Visitors Center.","Restrooms, Visitor Center, Environmental education facility, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, History/Social Studies/Cultural Heritage program, Learn about the life of a lumberjack with hands-on activities such as climbing through a log jam and experiencing a logger's kitchen.","Staff interpreters, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/recarea/hmnf/recarea/?recid=18538,989-362-8961,"5401 Monument Road, Oscoda, MI 48750",44.422707,-83.624201,No,
31,"S IL 53, Wilmington, Illinois, 60481",StreetName,S IL 53,Wilmington,Illinois,60481,USA,-88.164663,41.301238,-88.164663,41.301238,"30239 S. Route 53, Wilmington, IL 60481", U.S. Forest Service,Midewin National Tallgrass Prairie,"Restrooms, Visitor Center, hiking paths",Yes,"Staff or volunteer-led tour/hike, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/main/midewin/home,(815) 423-6370,"30239 S. Route 53, Wilmington, IL 60481",41.301238,-88.164663,No,
32, , , , , , , ,-71.337247,43.995463,0,0, , U.S. Forest Service,"White Mountain National Forest, Russell-Colbath Historic Site","Restrooms, Russell Colbath House, wooden barn, interpretive signs",Yes,"Staff or volunteer-led tour/hike, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers","Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/recarea/whitemountain/recreation/recarea/?recid=74925&actid=119,(603) 447-5448, ,43.995463,-71.337247,No, 
33,"03227, Center Sandwich, New Hampshire",Postal, ,Center Sandwich,New Hampshire,3227,USA,-71.437328,43.8058,-71.437328,43.8058,"Center Sandwich, NH 3227", U.S. Forest Service,"White Mountain National Forest, Mead Base Conservation Center","Restrooms, Visitor Center",Yes,"Staff or volunteer-led tour/hike, History/Social Studies/Cultural Heritage program",Volunteers,"Spring (March - May), Summer (June - August), Fall (September - October)",https://sites.google.com/site/friendsofmead/home,none,"Center Sandwich, NH 3227",43.8058,-71.437328,No,
34,"Hector, New York",Locality, ,Hector,New York, ,USA,-76.876308,42.506501,-76.876308,42.506501,"Hector Ranger District, 5218 State Rt. 414, Hector, NY", U.S. Forest Service,Finger Lakes National Forest,"Restrooms, Visitor Center",No,Staff or volunteer-led tour/hike,"Staff interpreters, Staff rangers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/fingerlakes,607-546-4470,"Hector Ranger District, 5218 State Rt. 414, Hector, NY",42.506501,-76.876308,No,
35,"29270 County Highway G, Ashland, Wisconsin, 54806",PointAddress,29270 County Highway G,Ashland,Wisconsin,54806,USA,-90.963029,46.581917,-90.962861,46.58383,"29270 County Highway G, Ashland, WI  54806", U.S. Forest Service,Northern Great Lakes Visitor Center,"Restrooms, Visitor Center, Environmental education facility",Yes,"Staff or volunteer-led tour/hike, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.northerngreatlakescenter.org/,715-685-9983,"29270 County Highway G, Ashland, WI  54806",46.581917,-90.963029,No,
36, , , , , , , ,-80.252611,38.182889,0,0, , U.S. Forest Service,"Monongahela National Forest, Cranberry Mountain Nature Center","Restrooms, Visitor Center, Environmental education facility, Day use areas",Yes,Staff or volunteer-led tour/hike,Staff interpreters,"Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/wps/portal/fsinternet/!ut/p/c4/04_SB8K8xLLM9MSSzPy8xBz9CP0os3gDfxMDT8MwRydLA1cj72BTJw8jAwjQL8h2VAQAzHJMsQ!!/?ss=110921&navtype=BROWSEBYSUBJECT&navid=100000000000000&pnavid=null&recid=7049&ttype=recarea&pname=Monongahela%20National%,(304) 653-4826, ,38.182889,-80.252611,No, 
37, , , , , , , ,0,0,0,0, , U.S. Forest Service,"Monongahela National Forest, Seneca Rocks Discovery Center","Restrooms, Visitor Center, Environmental education facility",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/wps/portal/fsinternet/!ut/p/c4/04_SB8K8xLLM9MSSzPy8xBz9CP0os3gDfxMDT8MwRydLA1cj72BTJw8jAwjQL8h2VAQAzHJMsQ!!/?ss=110921&navtype=BROWSEBYSUBJECT&navid=100000000000000&pnavid=null&recid=7050&ttype=recarea&pname=Monongahela%2520Nationa,(304) 567-2827, ,0,0,No, 
38,"532 N Cache St, Jackson, Wyoming, 83001",PointAddress,532 N Cache St,Jackson,Wyoming,83001,USA,-110.762344,43.485739,-110.761611,43.48707,"532 N. Cache, WY 83001", U.S. Forest Service,"Jackson Hole and Greater Yellowstone Interagency Visitor Center, Bridger-Teton National Forest  co-managed also with the USFWS and NPS","Restrooms, Visitor Center, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fws.gov/nwrs/threecolumn.aspx?id=2147509813,307-733-3316,"532 N. Cache, WY 83001",43.485739,-110.762344,No,
39,"2600 N Bogus Basin Rd, Boise, Idaho, 83702",PointAddress,2600 N Bogus Basin Rd,Boise,Idaho,83702,USA,-116.206596,43.643898,-116.206061,43.64345,"2600 Bogus Basin Rd, Idaho 83702", U.S. Forest Service,"Bogus Basin Snow School, in cooperation with Boise National Forest","Restrooms, outdoor ski school",Yes,Staff or volunteer-led tour/hike,"Staff interpreters, Volunteers",Winter (November - February),http://www.bogusbasin.org/snowschool-at-bogus-Basin.aspx,(208) 332-5100 or (800) 367-4397,"2600 Bogus Basin Rd, Idaho 83702",43.643898,-116.206596,Yes,
40,"18250 Mt Rose Hwy, Reno, Nevada, 89511",StreetAddress,18250 Mt Rose Hwy,Reno,Nevada,89511,USA,-119.856067,39.355671,-119.856067,39.355671,"18250 Mount Rose Highway , NV 89511", U.S. Forest Service,"Galena Creek Visitor Center, Humboldt-Toiyabe National Forest","Restrooms, Visitor Center, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.galenacreekvisitorcenter.org/,775-849-4948,"18250 Mount Rose Highway , NV 89511",39.355671,-119.856067,No,
41,"2525 Kyle Canyon Rd, Las Vegas, Nevada, 89124",StreetAddress,2525 Kyle Canyon Rd,Las Vegas,Nevada,89124,USA,-115.582495,36.272019,-115.582495,36.272019,"2525 Kyle Canyon Rd, Las Vegas, NV 89130", U.S. Forest Service,"Spring Mountains Visitor Gateway, Spring Mountains National Recreation Area, Humboldt-Toiyabe National Forest","Restrooms, Visitor Center, Environmental education facility, Amphitheater, Group shelters, Day use areas, trails",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.gomtcharleston.com/home.html,702-872-5486,"2525 Kyle Canyon Rd, Las Vegas, NV 89130",36.272019,-115.582495,Yes,
